iata_code,airline_name,region,functional_currency,ebit_usd,load_factor,low_cost_carrier,airline_age,num_routes,passenger_yield,ask,avg_fleet_age,fleet_size,aircraft_utilisation
B6,JetBlue,North America,USD,-230000000.0,0.826,N,-0.8427316558917717,,0.30434305174896636,110235000000.0,12.3,300.0,
Y4,Volaris,North America,USD,222710000.0,0.85,Y,-1.0824784406531973,-0.0916973973362872,-1.2689782027272105,62574000000.0,5.7,129.0,13.3
F9,Frontier Airlines,North America,USD,-3000000.0,0.814,Y,-0.7057334931709571,0.06401516417816284,-0.7701202439908621,60868260000.0,4.3,136.0,11.3
VB,Viva Aerobus,North America,USD,107000000.0,0.867,Y,-1.116727981333401,-0.368087194024436,-2.074825674532082,33925000000.0,5.4,81.0,12.6
HA,Hawaiian Airlines,North America,USD,-293675000.0,0.835,N,1.5204866510422805,,-0.0026464613195562106,32495734000.0,12.0,62.0,
F8,Flair,North America,CAD,,,Y,,,,,,,
AS,Alaska Airlines,North America,USD,394000000.0,0.837,N,1.4177380290016695,,0.4578378082832271,110255000000.0,8.4,314.0,11.4
NK,Spirit Airlines,North America,USD,-495757000.0,0.813,Y,-0.3289885456887169,,-0.6549991765901662,89565887000.0,6.6,205.0,11.1
G4,Allegiant Air,North America,USD,220981000.0,0.859,N,-0.8084821152115681,1.1578959088171745,-1.6910887831964287,30210782000.0,15.5,126.0,6.2
AM,Aeromexico,North America,MXN,,,N,,,,,,,
PD,Porter Airlines,North America,CAD,,,N,,,,,,,
TS,Air Transat,North America,CAD,67726000.0,0.85,N,-0.43173716772932785,,,,11.0,36.0,
9E,Endeavour Air,North America,USD,,,N,,,,,,,
ZW,Air Wisconsin,North America,USD,-36871000.0,,N,0.25325364587474525,,,1457629000.0,21.0,63.0,
3M,Silver Airways,North America,USD,,,N,,,,,,,
SY,Sun Country Airlines,North America,USD,127500000.0,0.863,N,-0.29473900500851324,,0.7264536322181844,9726892839.0,15.0,42.0,6.9
XP,Avelo Airlines,North America,USD,,,Y,,,,,,,
3H,Air Inuit,North America,CAD,,,N,,,,,,,
MO,Calm Air,North America,CAD,,,N,,,,,,,
CZ,China Southern Airlines,Asia Pacific,CNY,782800000.0,0.78,N,-0.5002362490897352,,-0.5015044200559049,316217460000.0,9.2,908.0,8.9
MU,China Eastern Airlines,Asia Pacific,CNY,270300000.0,0.744,N,-0.5002362490897352,,-0.27126228525451296,244960450000.0,8.7,800.0,
CA,Air China,Asia Pacific,CNY,406971800.0,0.732,N,-0.5002362490897352,0.3170480766391442,-0.19451490698738283,292513160000.0,9.4,905.0,8.14
6E,IndiGo,Asia Pacific,INR,1216149848.0,0.821,Y,-1.116727981333401,0.5661881750622643,-0.9619886896586882,114359000000.0,3.5,300.0,16.0
AK,AirAsiaX,Asia Pacific,MYR,104259000.0,0.8,Y,-1.116727981333401,,-2.3434414984670386,15604000000.0,12.1,18.0,
AI,Air India,Asia Pacific,INR,,,N,,,,,,,
SQ,Singapore Airlines,Asia Pacific,SGD,2027200000.0,0.854,N,0.04775640179352333,-0.21237463250998598,0.1892219843482704,106099300000.0,6.3,188.0,
VN,Vietnam Airlines,Asia Pacific,VND,-246300000.0,0.788,N,0.6299985933569855,-0.7729398539620062,-0.3863833526552089,42200000000.0,,101.0,
QF,Qantas,Asia Pacific,AUD,1827000000.0,0.833,N,1.8287325171641133,,1.0334431452867063,117258000000.0,,336.0,
NZ,Air New Zealand,Asia Pacific,NZD,359000000.0,0.847,N,1.1437417035600403,,0.803201010485315,34281000000.0,10.0,106.0,10.0
PX,Air Niugini,Asia Pacific,PGK,,,N,,,,,,,
JQ,Jetstar,Asia Pacific,AUD,,,Y,,,,,,,
CI,China Airlines,Asia Pacific,TWD,214736800.0,0.789,N,0.4930004306361708,0.17690677127613913,0.26596936261540105,48984014000.0,,84.0,
KC,Air Astana,Asia Pacific,USD,129514000.0,0.8,N,-0.9454802779323827,-0.7962967381891737,0.8799483887524456,12491000000.0,5.3,49.0,
BR,EVA Air,Asia Pacific,TWD,962786980.0,0.831,N,-0.5344857897699388,,-0.1561412178538175,60905046000.0,,87.0,
MH,Malaysian Airlines,Asia Pacific,MYR,,,N,,,,,,,
VJ,VietJet,Asia Pacific,VND,7593057.0,0.85,Y,-1.1509775220136047,-0.5043356853495798,,,6.0,87.0,
